Id,SalePrice
1461,120187.110518
1462,153517.533268
1463,182599.413135
1464,195430.667473
1465,195826.320401
1466,171446.163772
1467,177686.143345
1468,161569.186927
1469,193156.732669
1470,120284.945026
1471,190584.237353
1472,96889.5579759
1473,96517.3701163
1474,147335.358598
1475,115281.894902
1476,366866.370259
1477,252151.831403
1478,292867.612844
1479,299041.477142
1480,477248.157017
1481,326695.788378
1482,209924.783111
1483,175684.477358
1484,163378.811049
1485,189501.044456
1486,192498.211547
1487,341171.139417
1488,238193.429419
1489,195166.629755
1490,228532.907384
1491,194421.721987
1492,92786.5859667
1493,189403.690899
1494,301353.381288
1495,294786.467287
1496,236187.520483
1497,179274.365178
1498,166499.971295
1499,161269.107993
1500,150794.018842
1501,175011.6329
1502,145403.248417
1503,291737.275664
1504,242701.00023
1505,225550.230735
1506,188394.88243
1507,246446.064169
1508,203271.321267
1509,164630.94836
1510,143778.111654
1511,147221.784793
1512,174620.759819
1513,151914.333855
1514,155420.968657
1515,198912.438724
1516,158622.129499
1517,167262.339596
1518,132844.576181
1519,209168.927802
1520,128226.677821
1521,130450.802631
1522,178220.965911
1523,110153.740118
1524,125315.064357
1525,121060.084647
1526,114539.221914
1527,106999.205034
1528,136458.645179
1529,149712.1828
1530,183282.219421
1531,105639.168492
1532,98472.4930905
1533,141846.247916
1534,127035.652818
1535,147938.788513
1536,106151.098936
1537,66180.086754
1538,147016.026753
1539,190925.136967
1540,92876.5681986
1541,138958.835038
1542,139423.580188
1543,193455.609103
1544,83787.9035871
1545,114167.360913
1546,133876.78777
1547,127798.392732
1548,137358.320402
1549,118479.029146
1550,136362.618728
1551,109647.043677
1552,137432.646051
1553,149347.059376
1554,117168.272198
1555,160949.306235
1556,85101.1395771
1557,105949.47807
1558,96083.0620946
1559,63464.1588792
1560,134232.688601
1561,130561.559898
1562,129732.064392
1563,117998.193849
1564,155360.226242
1565,150976.650698
1566,237309.615855
1567,75979.3080229
1568,230131.41367
1569,128965.572468
1570,138309.835748
1571,123126.458931
1572,142737.759655
1573,239616.9556
1574,117913.036891
1575,227889.951336
1576,238884.509848
1577,183588.444669
1578,148134.825538
1579,144584.448971
1580,196701.297993
1581,151948.466863
1582,126088.06034
1583,300459.439135
1584,216190.49588
1585,136888.73944
1586,68177.3215692
1587,104259.312221
1588,151004.733075
1589,96719.2026005
1590,134095.035697
1591,92956.466271
1592,113854.461644
1593,128161.918849
1594,123947.591195
1595,107920.076522
1596,225106.014075
1597,192694.78673
1598,226226.545745
1599,174554.341921
1600,164207.979181
1601,69359.4254182
1602,116643.737418
1603,71547.8579963
1604,261375.133709
1605,244567.316794
1606,168817.031986
1607,171823.084635
1608,214035.760402
1609,186894.480301
1610,150100.669142
1611,138326.741577
1612,169039.323753
1613,160176.85416
1614,127363.919216
1615,92676.3668919
1616,77233.5722745
1617,95177.1398424
1618,124651.23153
1619,140566.591603
1620,154050.997961
1621,138588.021368
1622,140988.635643
1623,262350.604442
1624,209458.955666
1625,121850.258121
1626,169555.430373
1627,189845.77306
1628,279256.268553
1629,184370.742845
1630,345840.916543
1631,229611.839414
1632,243609.448074
1633,173107.767653
1634,185333.413073
1635,177518.950677
1636,152598.898358
1637,198609.973812
1638,182729.042895
1639,189766.719381
1640,251201.678099
1641,183620.006787
1642,235468.057614
1643,218058.78874
1644,231579.612359
1645,196105.186062
1646,158288.789273
1647,162936.261277
1648,130573.944983
1649,138199.875327
1650,114886.420766
1651,120800.350087
1652,97268.3115484
1653,99056.7849912
1654,146957.118304
1655,141170.727485
1656,141411.83589
1657,148220.348326
1658,142875.169379
1659,121681.834661
1660,155063.628461
1661,421866.26005
1662,414469.707916
1663,382849.139739
1664,381422.512933
1665,302995.02932
1666,330849.587189
1667,376092.276536
1668,342358.264858
1669,312377.639788
1670,357346.562673
1671,256110.66728
1672,425393.869658
1673,291433.426013
1674,242564.276033
1675,189450.689124
1676,188629.094269
1677,216509.484776
1678,439398.508971
1679,383925.119636
1680,329545.963383
1681,252163.662574
1682,319902.577105
1683,179508.093993
1684,177134.64363
1685,175496.387251
1686,168094.980175
1687,172940.530242
1688,189096.886817
1689,196962.534782
1690,200254.417295
1691,185950.60105
1692,272035.394769
1693,170006.901036
1694,184916.770814
1695,169513.771194
1696,277361.459569
1697,174653.405028
1698,361118.007751
1699,311004.183806
1700,248458.86208
1701,275274.102702
1702,240536.309989
1703,244852.901228
1704,275353.309202
1705,239429.839238
1706,358152.731821
1707,213892.159358
1708,199828.164289
1709,275513.32071
1710,217700.897131
1711,268842.825843
1712,261071.3492
1713,274961.182496
1714,221806.51271
1715,207707.061896
1716,185133.347697
1717,178256.430166
1718,136733.263484
1719,207763.799924
1720,246404.916303
1721,167259.110721
1722,127629.49302
1723,155212.054717
1724,205847.364619
1725,236144.068976
1726,183463.684076
1727,149723.562746
1728,178338.523436
1729,166804.358074
1730,159550.806532
1731,122313.488533
1732,126120.834058
1733,114859.895976
1734,120097.428732
1735,126923.78375
1736,110766.154523
1737,302776.660288
1738,240874.411487
1739,248482.111113
1740,206644.531429
1741,186786.630615
1742,172564.634498
1743,179424.063888
1744,306806.349414
1745,217551.150101
1746,187905.172923
1747,216781.925961
1748,216937.589519
1749,144244.734663
1750,125697.249557
1751,248508.082229
1752,117412.635707
1753,150690.504378
1754,198829.888578
1755,163012.410351
1756,125643.53793
1757,120871.42493
1758,145809.662855
1759,163124.649236
1760,165789.615923
1761,144554.233292
1762,178257.913983
1763,185385.873931
1764,114579.595006
1765,161291.568513
1766,188071.673436
1767,220603.514287
1768,141655.573069
1769,177224.754519
1770,151340.857919
1771,126645.991352
1772,129948.242844
1773,129999.448401
1774,140627.181853
1775,141970.416365
1776,128484.080096
1777,109453.775196
1778,138501.458326
1779,116963.917083
1780,182331.180629
1781,127081.633584
1782,88832.8143266
1783,141108.794482
1784,106298.692272
1785,124203.373306
1786,144839.264887
1787,165800.811533
1788,59378.6119521
1789,100364.589653
1790,78092.6618203
1791,178849.850627
1792,156390.883369
1793,129628.578465
1794,153063.679997
1795,133161.180065
1796,131387.12135
1797,113965.457686
1798,122680.867171
1799,110753.939942
1800,132431.659784
1801,124816.284909
1802,145145.108017
1803,150145.063978
1804,137206.573615
1805,137970.149113
1806,122188.686585
1807,138333.306516
1808,127291.842974
1809,121604.658411
1810,142035.843354
1811,94152.0169639
1812,96293.1891883
1813,122168.704971
1814,95400.1860473
1815,53899.0362896
1816,96488.5497142
1817,104177.498858
1818,139629.130021
1819,126908.996294
1820,50263.2462159
1821,117142.95171
1822,151234.259621
1823,42235.9526734
1824,129941.573765
1825,137521.225295
1826,103207.94114
1827,103016.44523
1828,136408.335421
1829,124468.072859
1830,135963.073844
1831,150771.112764
1832,75302.3291678
1833,142152.333303
1834,118635.594898
1835,122775.84268
1836,124538.562086
1837,86719.8218445
1838,120634.767155
1839,94789.8680739
1840,144712.48255
1841,133796.733195
1842,87010.2112503
1843,128347.735926
1844,143934.879143
1845,142784.61006
1846,155773.693797
1847,163973.855105
1848,53647.8206601
1849,113793.460441
1850,117522.53174
1851,152640.30929
1852,126702.32141
1853,121790.982253
1854,167210.520204
1855,147354.487477
1856,224124.643686
1857,138057.282279
1858,137157.108153
1859,123605.319178
1860,145048.979177
1861,123155.394972
1862,329214.641875
1863,311101.839189
1864,311161.134686
1865,343042.894886
1866,331210.131722
1867,233734.806938
1868,288603.118042
1869,200809.891053
1870,228120.569539
1871,259730.373417
1872,173781.481288
1873,235282.439486
1874,152523.778145
1875,199141.559288
1876,196102.492419
1877,209504.787808
1878,207800.499491
1879,128784.325133
1880,134442.524975
1881,242855.709043
1882,246057.92195
1883,186664.619407
1884,202438.417433
1885,246689.533362
1886,294869.441519
1887,210666.409804
1888,273112.614967
1889,162432.562356
1890,113666.342922
1891,135920.088611
